essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.833333,32,0.124683,0.0604682,0.1411558,0.1139444,0.159835,0.0769784
0.888889,32,0.0524916,0.0472836,0.836716,0.1158248,0.1068478,0.0472322
0.944444,32,0.0759428,0.0512052,0.7911856,0.1125852,0.1361436,0.0462124
1,32,0.1116988,0.0562026,0.9238978,0.0806808,0.1594896,0.0466022
0.5,36,0.0050356,0.0201488,0.0320426,0.0563386,0.0076752,0.0297408
0.555556,36,0.0062356,0.0223032,0.030969,0.055824,0.0092544,0.0321272
0.611111,36,0.0080956,0.0254526,0.030734,0.0544918,0.0117434,0.0358952
0.666667,36,0.013876,0.0327726,0.0279292,0.0532832,0.018904,0.0433866
0.722222,36,0.044541,0.0531916,0.0156334,0.041106,0.0539516,0.063382
0.777778,36,0.1099426,0.0637484,0.0089836,0.033924,0.1263068,0.0790988
0.833333,36,0.1372666,0.0603396,0.129835,0.078692,0.1666028,0.0761984
0.888889,36,0.0562984,0.0474996,0.8132688,0.1148044,0.1088184,0.0473296
0.944444,36,0.0810032,0.052953,0.8425216,0.1099736,0.1341934,0.0467058
1,36,0.1111796,0.0556862,0.8810696,0.092578,0.1604832,0.0459384
0.5,40,0.0051964,0.020264,0.0320798,0.0561316,0.0079022,0.0296934
0.555556,40,0.0064324,0.0224538,0.030521,0.0551916,0.0093522,0.031527
0.611111,40,0.0080432,0.0251182,0.0303292,0.0543058,0.0116676,0.0351254
0.666667,40,0.0141146,0.0330518,0.0254688,0.0503548,0.0190936,0.0428902
0.722222,40,0.0424804,0.0524258,0.0169258,0.0422352,0.051808,0.0618328
0.777778,40,0.1116104,0.0626576,0.0110152,0.037305,0.1280296,0.0766312
0.833333,40,0.1162808,0.0558382,0.300757,0.0861092,0.1475076,0.0675146
0.888889,40,0.0538024,0.0463688,0.8043518,0.1235698,0.1061626,0.0458564
0.944444,40,0.0822098,0.053086,0.8450194,0.1087006,0.1333612,0.046527
1,40,0.1132844,0.0556334,0.895584,0.0861138,0.1601024,0.046161
