essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0.0034962,0.0180292,0.06738,0.0920254,0.0061636,0.0416084
0.555556,4,0.0037564,0.0187062,0.0665868,0.0915102,0.0066046,0.0430328
0.611111,4,0.0041098,0.0195314,0.0660062,0.0907536,0.0072074,0.0449342
0.666667,4,0.0047404,0.0209778,0.065156,0.0903022,0.0083188,0.0482092
0.722222,4,0.0059804,0.0234932,0.064206,0.090756,0.0104048,0.0537796
0.777778,4,0.0097584,0.0295754,0.0581696,0.0857814,0.0166708,0.067493
0.833333,4,0.03044,0.0616024,0.1450276,0.2654488,0.069769,0.1184054
0.888889,4,0.0621814,0.0918866,0.4095394,0.4534526,0.1536818,0.1254798
0.944444,4,0.0877254,0.1013852,0.5710414,0.4644802,0.196496,0.106374
1,4,0.1062732,0.1036232,0.69229,0.4346416,0.2204846,0.0849214
0.5,8,0.0036712,0.0183544,0.066942,0.0912588,0.0068244,0.0371108
0.555556,8,0.0040822,0.019388,0.0666672,0.0910918,0.0075668,0.0390006
0.611111,8,0.0049604,0.0213658,0.0633524,0.0892612,0.0088456,0.041825
0.666667,8,0.0066944,0.0246414,0.0600802,0.086529,0.0114552,0.0470116
0.722222,8,0.0124552,0.0331092,0.0530398,0.0828586,0.0196144,0.0597224
0.777778,8,0.0419698,0.0535558,0.0757476,0.1421346,0.06371,0.0935636
0.833333,8,0.0410844,0.0492436,0.4794714,0.4681262,0.0974216,0.0710328
0.888889,8,0.0564434,0.0520166,0.6418606,0.4546086,0.1198734,0.062754
0.944444,8,0.0789844,0.0598422,0.730223,0.4179094,0.1463254,0.0691202
1,8,0.0940572,0.0720602,0.9750628,0.0547314,0.1777626,0.0667364
0.5,12,0.0037302,0.0184504,0.0665318,0.0885466,0.0070246,0.0354844
0.555556,12,0.004218,0.0195414,0.067002,0.0889446,0.0079024,0.0374848
0.611111,12,0.0053836,0.0219626,0.0630508,0.0879034,0.0095256,0.0404772
0.666667,12,0.0077232,0.0261578,0.0613174,0.0876486,0.0129026,0.0462018
0.722222,12,0.0186252,0.0396056,0.0477228,0.0781966,0.0268922,0.0625054
0.777778,12,0.0758952,0.0638798,0.0119548,0.0367218,0.0942392,0.0999404
0.833333,12,0.0681874,0.057389,0.3949024,0.4478532,0.1107178,0.078829
0.888889,12,0.069237,0.0549042,0.6310124,0.4052578,0.130723,0.067285
0.944444,12,0.0678688,0.0452464,0.8663572,0.0929278,0.1449962,0.0494968
1,12,0.0742406,0.0489372,0.6669352,0.104871,0.1871996,0.0551944
0.5,16,0.0036752,0.0180696,0.070354,0.0909926,0.0071284,0.034599
0.555556,16,0.0044038,0.0197568,0.0669292,0.0870332,0.0081854,0.0366504
0.611111,16,0.005325,0.021794,0.0653514,0.0878264,0.0095794,0.0392586
0.666667,16,0.0082738,0.0270218,0.061732,0.0854122,0.0138372,0.0458164
0.722222,16,0.0230366,0.042827,0.0444322,0.0750874,0.0318586,0.0630674
0.777778,16,0.0902062,0.0640434,0.0088378,0.0319722,0.1079478,0.095313
0.833333,16,0.0676894,0.0558294,0.3958342,0.381203,0.1158648,0.0731638
0.888889,16,0.0456282,0.0406564,0.82185,0.1256144,0.1150652,0.0497484
0.944444,16,0.0549028,0.0443306,0.6751768,0.121794,0.1509006,0.0512568
1,16,0.0771304,0.0498426,0.5230682,0.1098002,0.1958108,0.053145
0.5,20,0.003671,0.018032,0.0691418,0.0867966,0.0071526,0.0338076
0.555556,20,0.0043688,0.0195666,0.0715318,0.0899566,0.0082632,0.0358976
0.611111,20,0.0059492,0.0226814,0.0612398,0.084266,0.0102272,0.038761
0.666667,20,0.0093888,0.0281328,0.0580442,0.083546,0.0149156,0.0452106
0.722222,20,0.0294772,0.0472926,0.0384326,0.0687784,0.0386714,0.0646684
0.777778,20,0.0956768,0.0649388,0.0184374,0.0505208,0.1138004,0.0905154
0.833333,20,0.0609152,0.0506644,0.4792434,0.290529,0.1114214,0.0648648
0.888889,20,0.04134,0.0401528,0.7560704,0.1283242,0.1145742,0.048316
0.944444,20,0.0548502,0.0445014,0.5995638,0.1253484,0.15218,0.048848
1,20,0.0785904,0.0506226,0.4598332,0.1163486,0.1964144,0.0503636
0.5,24,0.0038296,0.0183034,0.0680838,0.0873288,0.0072996,0.0331368
0.555556,24,0.004473,0.0195758,0.073748,0.0891486,0.0084816,0.0355434
0.611111,24,0.0057166,0.0220484,0.0696138,0.0883174,0.01036,0.0386408
0.666667,24,0.0093718,0.0281368,0.0629144,0.0839846,0.0152378,0.044996
0.722222,24,0.0301218,0.0477144,0.04222,0.0718178,0.0395256,0.0633656
0.777778,24,0.099847,0.065459,0.018322,0.0502278,0.1178814,0.086927
0.833333,24,0.0319804,0.0376318,0.7178822,0.1821156,0.0889722,0.0504878
0.888889,24,0.0399954,0.0400572,0.6838476,0.1378868,0.1153118,0.0477728
0.944444,24,0.0553806,0.0447536,0.5417756,0.1252336,0.152263,0.0475712
1,24,0.0818786,0.050373,0.4231442,0.1182452,0.1955872,0.0478464
0.5,28,0.0039056,0.0181086,0.0808876,0.091952,0.007498,0.0326638
0.555556,28,0.0043008,0.0191444,0.0773932,0.0879994,0.008393,0.035079
0.611111,28,0.0057618,0.022138,0.0637724,0.0825198,0.0102422,0.037514
0.666667,28,0.0093706,0.0281258,0.0673646,0.0866664,0.0154172,0.0443492
0.722222,28,0.0351756,0.0499694,0.0370206,0.0667276,0.0451938,0.064263
0.777778,28,0.0968534,0.0617182,0.0474976,0.0739718,0.1176372,0.0818508
0.833333,28,0.0336928,0.0374582,0.6811916,0.176054,0.0894504,0.0498066
0.888889,28,0.0399278,0.0403864,0.6483142,0.134716,0.1148564,0.0464634
0.944444,28,0.0573014,0.0455024,0.5093748,0.1270812,0.1518986,0.046367
1,28,0.0848394,0.0496194,0.394589,0.1114968,0.1948756,0.0462458
0.5,32,0.0039286,0.0181808,0.0687936,0.0839308,0.007466,0.0322604
0.555556,32,0.0043694,0.0191898,0.0718792,0.0860398,0.008443,0.0343792
0.611111,32,0.0058092,0.0220204,0.0760516,0.0899702,0.010649,0.0376808
0.666667,32,0.0098394,0.02843,0.0603254,0.0794766,0.0157754,0.0436864
0.722222,32,0.0344872,0.0499486,0.0347102,0.0631874,0.0443266,0.0626528
0.777778,32,0.1010242,0.0636032,0.0284886,0.0650234,0.120542,0.0802686
0.833333,32,0.0319892,0.0373224,0.6594936,0.1697874,0.0883208,0.0485716
0.888889,32,0.0404474,0.0402872,0.602774,0.1345432,0.115268,0.0460092
0.944444,32,0.0591936,0.0448676,0.4749386,0.1272064,0.1520402,0.0451452
1,32,0.086795,0.0500594,0.377185,0.1133612,0.1939552,0.0452098
0.5,36,0.0036472,0.017389,0.0768694,0.0844798,0.007404,0.0320962
0.555556,36,0.0045842,0.0194696,0.0705408,0.0808656,0.0086182,0.0338608
0.611111,36,0.0059216,0.0219936,0.0722138,0.0855788,0.0107708,0.0371888
0.666667,36,0.0099138,0.028043,0.0602318,0.0772086,0.0160962,0.0434218
0.722222,36,0.0338976,0.048825,0.0400608,0.0642834,0.0444386,0.0617172
0.777778,36,0.0855606,0.057901,0.1000618,0.089806,0.1111698,0.073812
0.833333,36,0.0314496,0.0366816,0.6384786,0.1612558,0.0885226,0.0475438
