essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.833333,32,0.307463,0.0797986,0.1460858,0.0783836,0.3941984,0.068146
0.888889,32,0.394274,0.0692796,0.1271286,0.0845756,0.4358138,0.0661864
0.944444,32,0.4416556,0.0617086,0.1666328,0.088597,0.4600222,0.0634994
1,32,0.5023074,0.0600366,0.2307868,0.1090916,0.5020278,0.0619996
0.5,36,0.0187158,0.0350198,0.0284488,0.0491374,0.025442,0.0599086
0.555556,36,0.0734512,0.0580332,0.0152358,0.0390936,0.0877244,0.0896582
0.611111,36,0.152506,0.0596236,0.0826868,0.063981,0.1913148,0.0917488
0.666667,36,0.181179,0.066436,0.099733,0.0784618,0.2591808,0.0859156
0.722222,36,0.2019318,0.0718468,0.1030634,0.0758532,0.3156648,0.0769154
0.777778,36,0.2308732,0.0774162,0.1069802,0.068682,0.3548368,0.0694452
0.833333,36,0.3239068,0.076643,0.1055096,0.0764142,0.3994518,0.0681206
0.888889,36,0.3974994,0.068778,0.1141138,0.0817142,0.435546,0.0649322
0.944444,36,0.4470562,0.0596882,0.137142,0.0846646,0.4630874,0.0617678
1,36,0.4990818,0.0562168,0.2962348,0.10161,0.499346,0.058484
0.5,40,0.0184838,0.0347034,0.0298648,0.0497486,0.0254524,0.0593406
0.555556,40,0.0742524,0.0562626,0.018002,0.0418932,0.090159,0.087911
0.611111,40,0.1651262,0.0596268,0.0418916,0.0529422,0.1940312,0.092098
0.666667,40,0.1776862,0.0653376,0.0913976,0.0717626,0.2627992,0.0831954
0.722222,40,0.1904526,0.0709336,0.0993876,0.073052,0.3165158,0.0741292
0.777778,40,0.2359992,0.0763662,0.0941854,0.0665208,0.3554262,0.0695662
0.833333,40,0.3058504,0.0768908,0.097547,0.0692488,0.3933086,0.0658348
0.888889,40,0.3946782,0.064085,0.1405208,0.074587,0.4335244,0.0619172
0.944444,40,0.446429,0.0609002,0.120457,0.0802738,0.462449,0.0616508
1,40,0.500589,0.0585832,0.1936624,0.096777,0.5001094,0.0594984
