T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.000431	0.000837	0.000278	0.000347	0.000186	0.000567	0.000447	0.000570	0.000119	0.000469
20	0.001592	0.000980	0.000864	0.000344	0.000698	0.000750	0.001186	0.001232	0.000460	0.000925
30	0.002036	0.001189	0.001247	0.000536	0.000947	0.000990	0.001076	0.001061	0.001073	0.001183
40	0.001826	0.001543	0.002341	0.000997	0.001231	0.001720	0.001841	0.001178	0.001434	0.001547
50	0.002445	0.001651	0.002606	0.000696	0.001220	0.002626	0.002081	0.001081	0.002087	0.002233
60	0.003273	0.002428	0.003061	0.000856	0.002226	0.002897	0.002034	0.001028	0.002058	0.004034
70	0.003506	0.003711	0.003225	0.001254	0.002704	0.003736	0.002636	0.001519	0.003036	0.004146
80	0.004604	0.003969	0.003859	0.001312	0.002637	0.005104	0.002557	0.002271	0.003260	0.004845
90	0.005033	0.005342	0.005709	0.001845	0.004252	0.006175	0.002550	0.002302	0.003601	0.006148
100	0.006429	0.006964	0.005766	0.002381	0.003265	0.007676	0.002186	0.002701	0.004268	0.005684
110	0.006406	0.008003	0.005071	0.003117	0.003459	0.007862	0.002573	0.003009	0.004847	0.006190
120	0.008043	0.007791	0.005013	0.003287	0.004366	0.009559	0.003111	0.004306	0.005192	0.007235
130	0.007138	0.007398	0.004695	0.003571	0.004468	0.010155	0.004047	0.004831	0.005598	0.007118
140	0.007960	0.007453	0.005275	0.003848	0.005886	0.008763	0.005821	0.005129	0.005719	0.009121
150	0.008503	0.007026	0.005844	0.003479	0.005778	0.008490	0.007163	0.005836	0.006686	0.010987
160	0.010199	0.007908	0.005162	0.002909	0.005393	0.007107	0.006539	0.005154	0.007539	0.011679
170	0.010153	0.006942	0.005512	0.003633	0.004642	0.007510	0.006487	0.003469	0.008014	0.011649
180	0.010151	0.006641	0.005650	0.002634	0.004970	0.008023	0.005820	0.002652	0.009526	0.012431
190	0.012296	0.006255	0.004701	0.002508	0.004871	0.007059	0.004519	0.002820	0.008953	0.010919
200	0.013816	0.006683	0.005332	0.002884	0.004406	0.008082	0.004825	0.002907	0.009242	0.010518
210	0.014583	0.004932	0.005216	0.001872	0.003407	0.007346	0.004903	0.002275	0.008722	0.011286
220	0.012602	0.004528	0.003949	0.001820	0.002775	0.007667	0.004537	0.002081	0.007991	0.010866
230	0.012571	0.003963	0.004676	0.001262	0.002835	0.007961	0.006716	0.002882	0.007036	0.010766
240	0.012943	0.003474	0.005034	0.000795	0.002692	0.007173	0.007488	0.003067	0.007007	0.010525
250	0.015785	0.002121	0.005811	0.001162	0.002822	0.007393	0.005731	0.002597	0.006944	0.009268
260	0.013444	0.001790	0.004863	0.001088	0.002633	0.008013	0.004093	0.002843	0.005391	0.008764
270	0.012669	0.001830	0.005653	0.001561	0.003125	0.007213	0.005439	0.003122	0.005806	0.009484
280	0.012575	0.002529	0.005455	0.001131	0.003489	0.005903	0.005204	0.003276	0.005941	0.008660
290	0.012954	0.002280	0.005209	0.000663	0.004154	0.006363	0.004093	0.003718	0.007577	0.006747
300	0.013041	0.002786	0.005898	0.000606	0.003744	0.007170	0.004409	0.002736	0.006709	0.004532
310	0.011734	0.002528	0.004706	0.000954	0.003420	0.006902	0.004467	0.002564	0.005529	0.004361
320	0.010801	0.002188	0.003778	0.001171	0.003907	0.006213	0.005648	0.003053	0.004355	0.003980
330	0.007638	0.001823	0.003870	0.000631	0.003615	0.004586	0.005437	0.002983	0.005705	0.002523
340	0.006826	0.002340	0.003238	0.000844	0.003383	0.004365	0.003815	0.003076	0.006250	0.002374
350	0.006184	0.002345	0.003427	0.000490	0.002857	0.003816	0.004084	0.002236	0.006337	0.002682
360	0.003814	0.001926	0.002672	0.000636	0.002241	0.003122	0.003837	0.002792	0.006805	0.002830
370	0.004526	0.001449	0.002232	0.000553	0.001736	0.002825	0.003773	0.001744	0.006807	0.002497
380	0.005209	0.001215	0.002312	0.000490	0.001891	0.002415	0.005660	0.002595	0.007723	0.001859
390	0.004317	0.001552	0.002032	0.000872	0.002421	0.003232	0.005976	0.001887	0.008121	0.001424
400	0.004684	0.001321	0.001650	0.000608	0.003424	0.003610	0.005470	0.001173	0.008998	0.001949
410	0.004077	0.001925	0.002518	0.000700	0.003542	0.003523	0.005732	0.001441	0.006993	0.002425
420	0.003474	0.001886	0.001970	0.000887	0.003273	0.002501	0.004332	0.001513	0.004490	0.002589
430	0.002795	0.001543	0.001323	0.000808	0.002919	0.001424	0.004137	0.002804	0.002767	0.002070
440	0.003757	0.001360	0.001196	0.001028	0.003000	0.001693	0.003966	0.001766	0.003990	0.001570
450	0.003702	0.001136	0.001422	0.000643	0.003406	0.002336	0.004102	0.001525	0.002617	0.001329
460	0.002790	0.001639	0.001421	0.001123	0.003822	0.002001	0.002496	0.002092	0.003273	0.001759
470	0.003254	0.002159	0.001278	0.001362	0.003248	0.001772	0.001539	0.001829	0.002564	0.001262
480	0.003012	0.002485	0.001000	0.000966	0.003462	0.002302	0.001374	0.002068	0.003111	0.001255
490	0.003206	0.002418	0.001434	0.001481	0.004240	0.002356	0.001306	0.003247	0.002973	0.001345
500	0.001144	0.003003	0.001523	0.002228	0.004137	0.001857	0.001297	0.002281	0.002909	0.001337
510	0.001437	0.003021	0.001697	0.002624	0.004822	0.001743	0.002440	0.002597	0.002189	0.001525
520	0.001413	0.002115	0.001726	0.002807	0.005216	0.001155	0.002754	0.001645	0.003199	0.001766
530	0.001900	0.001684	0.001654	0.002166	0.005514	0.001471	0.002024	0.001943	0.003237	0.002081
540	0.001067	0.001092	0.002113	0.002042	0.005320	0.001504	0.001563	0.001957	0.001940	0.001871
550	0.000884	0.000980	0.002153	0.002058	0.004948	0.000928	0.002174	0.002222	0.001733	0.001597
560	0.001000	0.000666	0.002740	0.002221	0.004720	0.001225	0.001812	0.001579	0.001209	0.001633
570	0.001197	0.000802	0.002578	0.003094	0.004756	0.001565	0.001919	0.002356	0.001664	0.001684
580	0.000947	0.000723	0.002548	0.002483	0.005548	0.002250	0.002236	0.002611	0.001763	0.001242
590	0.000897	0.000773	0.003042	0.002666	0.005299	0.002019	0.002030	0.002019	0.001750	0.001426
600	0.001466	0.000674	0.002475	0.001549	0.006106	0.001296	0.001969	0.001780	0.001378	0.001376
610	0.001239	0.000675	0.001812	0.001496	0.006821	0.001159	0.001667	0.002221	0.001514	0.001474
620	0.001196	0.000527	0.002640	0.001530	0.006466	0.000869	0.001655	0.002790	0.001454	0.001401
630	0.000826	0.000187	0.002742	0.001368	0.006795	0.000824	0.001512	0.001592	0.001690	0.001680
640	0.000771	0.000767	0.002159	0.001936	0.006328	0.000962	0.001652	0.001659	0.002268	0.001793
650	0.000456	0.000624	0.003060	0.002431	0.006513	0.001310	0.001913	0.001561	0.002276	0.002065
660	0.000637	0.000848	0.003624	0.002871	0.007304	0.001515	0.002183	0.001829	0.001732	0.001438
670	0.000727	0.000676	0.003420	0.002524	0.007208	0.001584	0.002517	0.002524	0.001023	0.001586
680	0.000485	0.000576	0.003891	0.001530	0.007137	0.001303	0.003514	0.003057	0.001503	0.002076
690	0.000681	0.001103	0.004517	0.001321	0.008255	0.001002	0.004606	0.004329	0.001417	0.002197
700	0.000935	0.001476	0.005356	0.002369	0.006974	0.001038	0.004128	0.004751	0.001539	0.002942
710	0.001354	0.001265	0.005145	0.002753	0.007847	0.001526	0.003011	0.004490	0.001595	0.003111
720	0.001162	0.001810	0.004451	0.002063	0.008539	0.001768	0.003597	0.003969	0.000933	0.002659
730	0.001461	0.001664	0.004895	0.001466	0.010542	0.001858	0.005102	0.003957	0.001066	0.002155
740	0.001541	0.001582	0.006082	0.001645	0.010436	0.001488	0.005643	0.004058	0.000844	0.002496
750	0.001911	0.002680	0.007085	0.001617	0.010359	0.001454	0.004412	0.003721	0.000738	0.002530
760	0.001528	0.001956	0.006379	0.001596	0.011057	0.001506	0.005782	0.004839	0.000578	0.002397
770	0.001079	0.002262	0.007811	0.002334	0.012595	0.002333	0.005485	0.004222	0.000478	0.003620
780	0.001653	0.002507	0.007122	0.002775	0.013568	0.002771	0.006870	0.004878	0.000525	0.003245
790	0.001642	0.002115	0.007761	0.002849	0.012596	0.002519	0.007163	0.004491	0.000534	0.004349
800	0.001406	0.001741	0.008639	0.002475	0.013356	0.002317	0.007473	0.003666	0.000627	0.004328
810	0.001458	0.001145	0.006925	0.002123	0.013257	0.001663	0.006409	0.003953	0.000490	0.005884
820	0.001288	0.000628	0.008637	0.002733	0.014255	0.001879	0.007017	0.004493	0.000631	0.005979
830	0.001674	0.001154	0.010460	0.002576	0.014880	0.001747	0.007159	0.004480	0.001149	0.004987
840	0.002271	0.001014	0.010149	0.002913	0.014768	0.002687	0.006075	0.005090	0.000987	0.003641
850	0.002021	0.001795	0.010886	0.003434	0.014676	0.002755	0.006749	0.006204	0.000898	0.003234
860	0.001712	0.001247	0.009807	0.002608	0.013764	0.002587	0.006625	0.005136	0.000949	0.002854
870	0.001624	0.000725	0.010273	0.002116	0.015203	0.002646	0.005876	0.004688	0.001633	0.003072
880	0.001002	0.000875	0.008974	0.002900	0.015822	0.002832	0.005170	0.005305	0.001711	0.003510
890	0.001244	0.000897	0.008883	0.002529	0.014498	0.003444	0.005368	0.004529	0.001576	0.003777
900	0.001204	0.001295	0.008611	0.002131	0.014248	0.002323	0.006371	0.003830	0.002432	0.004857
910	0.001188	0.001239	0.009729	0.002553	0.014593	0.002250	0.005707	0.004130	0.002366	0.003863
920	0.000723	0.001769	0.010898	0.002479	0.015095	0.002243	0.005588	0.003725	0.002940	0.004827
930	0.001077	0.001845	0.011348	0.003121	0.016973	0.002208	0.006581	0.004011	0.003182	0.004470
940	0.000652	0.001799	0.010712	0.001910	0.018922	0.002447	0.008166	0.004319	0.003523	0.004427
950	0.001070	0.001383	0.010357	0.001801	0.019580	0.002966	0.009123	0.004174	0.003539	0.004379
960	0.000987	0.001105	0.011636	0.001284	0.020965	0.003229	0.008755	0.004098	0.003521	0.004501
970	0.001526	0.001518	0.012421	0.001715	0.023322	0.002781	0.008847	0.003446	0.002761	0.004603
980	0.001806	0.001499	0.012007	0.001787	0.024005	0.002367	0.009759	0.003178	0.003097	0.004999
990	0.001826	0.001425	0.014048	0.002121	0.024388	0.002894	0.009823	0.003138	0.003439	0.004578
1000	0.001953	0.001724	0.016443	0.001747	0.022312	0.003495	0.011417	0.003492	0.003159	0.003972
1010	0.002168	0.002827	0.016091	0.001443	0.021097	0.003223	0.011282	0.002788	0.003626	0.003531
1020	0.002064	0.002960	0.015968	0.002538	0.021024	0.003180	0.010433	0.003083	0.004044	0.004203
1030	0.001995	0.002940	0.015852	0.002116	0.019916	0.002574	0.011244	0.002522	0.003650	0.005602
1040	0.001958	0.001861	0.017072	0.001448	0.022120	0.003885	0.010718	0.002649	0.003659	0.005886
1050	0.001840	0.001613	0.016435	0.001320	0.020251	0.004523	0.010751	0.003023	0.003501	0.004420
1060	0.002643	0.002378	0.016281	0.002082	0.019044	0.004245	0.011082	0.003659	0.003586	0.004847
1070	0.002665	0.002476	0.016385	0.002610	0.018724	0.004500	0.012464	0.003905	0.003584	0.004026
1080	0.003023	0.002457	0.016547	0.002551	0.019066	0.003348	0.013088	0.004301	0.003506	0.004476
1090	0.002322	0.003601	0.016302	0.002567	0.018746	0.004059	0.013789	0.004534	0.003166	0.005248
1100	0.002388	0.003326	0.015849	0.003534	0.020084	0.003108	0.012274	0.005459	0.003469	0.006527
1110	0.002288	0.003265	0.017738	0.004751	0.019075	0.002644	0.011632	0.005223	0.004230	0.007544
1120	0.002200	0.003716	0.016339	0.003733	0.020161	0.002834	0.011014	0.005136	0.004421	0.007780
1130	0.002757	0.003875	0.016014	0.004964	0.020428	0.003136	0.010595	0.003945	0.003246	0.007541
1140	0.002937	0.003022	0.016755	0.005617	0.020905	0.003118	0.011429	0.002991	0.004008	0.006128
