T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.999738	0.999496	0.999551	0.999580	0.999624	0.999480	0.999896	0.999587	0.999086	0.998814
20	0.999090	0.999211	0.999171	0.999176	0.999216	0.998625	0.999195	0.999133	0.998541	0.998330
30	0.998794	0.999244	0.998628	0.998968	0.998544	0.998366	0.998889	0.998500	0.997430	0.997382
40	0.999046	0.999246	0.997034	0.998873	0.998346	0.997810	0.998854	0.998578	0.997143	0.996042
50	0.998521	0.999041	0.997107	0.998752	0.998100	0.998231	0.998497	0.998134	0.996195	0.995781
60	0.997934	0.998314	0.997626	0.998591	0.997211	0.997805	0.998247	0.997522	0.995190	0.994745
70	0.996706	0.997441	0.997932	0.998707	0.996574	0.997602	0.997367	0.997607	0.995667	0.993945
80	0.995874	0.997182	0.997415	0.997939	0.995220	0.997451	0.997834	0.998232	0.996124	0.994002
90	0.994080	0.996946	0.997659	0.997882	0.992597	0.998221	0.997768	0.997974	0.994891	0.995465
100	0.992540	0.996630	0.997702	0.996038	0.991986	0.998609	0.996742	0.996989	0.996107	0.996141
110	0.991518	0.995990	0.997758	0.995414	0.991247	0.997786	0.996417	0.995196	0.997044	0.997684
120	0.990619	0.996190	0.997594	0.994194	0.990183	0.997928	0.996857	0.992361	0.998193	0.997796
130	0.991051	0.996706	0.997987	0.994506	0.991263	0.998388	0.997084	0.990367	0.998596	0.997624
140	0.990661	0.996531	0.997021	0.995353	0.993378	0.997393	0.996617	0.988371	0.998179	0.998485
150	0.993328	0.997955	0.997974	0.996416	0.994112	0.996299	0.997209	0.987017	0.998038	0.998527
160	0.995526	0.997825	0.998518	0.996229	0.994187	0.994411	0.997283	0.987527	0.998382	0.997882
170	0.996664	0.996921	0.998242	0.995786	0.993911	0.993385	0.997324	0.991100	0.998340	0.997212
180	0.997438	0.996843	0.998364	0.995338	0.991780	0.991937	0.997530	0.991160	0.996095	0.997754
190	0.997449	0.996984	0.998416	0.995271	0.990348	0.990755	0.997301	0.992489	0.995907	0.997983
200	0.998073	0.996694	0.998761	0.994308	0.985964	0.990165	0.997330	0.993713	0.996552	0.998190
210	0.997964	0.996857	0.998590	0.993841	0.984152	0.988852	0.998207	0.994453	0.996094	0.998069
220	0.997568	0.996444	0.998951	0.994566	0.982220	0.987392	0.997459	0.994804	0.997281	0.997917
230	0.997783	0.996018	0.998972	0.994122	0.979198	0.988364	0.997026	0.994753	0.996847	0.997667
240	0.998360	0.995706	0.998516	0.995654	0.976869	0.989412	0.996800	0.995757	0.997578	0.998625
250	0.998069	0.995177	0.997993	0.995197	0.972251	0.990869	0.996516	0.996214	0.997483	0.997629
260	0.997294	0.995681	0.997790	0.996602	0.970669	0.991906	0.995532	0.996357	0.997317	0.996789
270	0.996889	0.995685	0.998060	0.996895	0.969954	0.992263	0.996123	0.995656	0.995989	0.995164
280	0.995868	0.995101	0.997738	0.996994	0.969213	0.991400	0.996460	0.995347	0.996299	0.995435
290	0.995936	0.994755	0.997434	0.997577	0.966475	0.991666	0.996508	0.994186	0.996751	0.993242
300	0.997342	0.995653	0.997616	0.997696	0.967494	0.990208	0.996787	0.992654	0.995966	0.994731
310	0.997393	0.996011	0.997022	0.996434	0.964398	0.989992	0.996588	0.991899	0.995292	0.992728
320	0.997087	0.996211	0.996208	0.996366	0.963910	0.991678	0.996848	0.991066	0.995370	0.992708
330	0.997282	0.996660	0.996767	0.996279	0.965219	0.992398	0.996222	0.991106	0.995207	0.992496
340	0.998058	0.996702	0.997732	0.996372	0.967589	0.992471	0.994573	0.991262	0.993739	0.992798
350	0.997959	0.997088	0.995945	0.995870	0.968720	0.993247	0.994347	0.990106	0.993602	0.991268
360	0.997487	0.996989	0.995802	0.995081	0.970044	0.992819	0.993810	0.989487	0.992264	0.990356
370	0.996793	0.997562	0.995606	0.994971	0.973779	0.992038	0.993638	0.989480	0.991883	0.990225
380	0.996306	0.996947	0.994892	0.995147	0.972835	0.991702	0.993475	0.988302	0.990943	0.989631
390	0.996693	0.996641	0.996000	0.994983	0.978262	0.988899	0.993883	0.987640	0.990482	0.989870
400	0.996453	0.996423	0.994875	0.992943	0.978931	0.985752	0.994664	0.986536	0.990015	0.990339
410	0.995882	0.996520	0.995139	0.992164	0.981719	0.985608	0.995169	0.988624	0.990150	0.989975
420	0.995119	0.997197	0.995370	0.990415	0.984606	0.986772	0.994982	0.987695	0.989898	0.991515
430	0.994215	0.997105	0.994057	0.992563	0.987351	0.986542	0.995018	0.986905	0.988129	0.991528
440	0.993611	0.996577	0.993530	0.990921	0.985568	0.987518	0.995691	0.986056	0.987335	0.991463
450	0.994037	0.996652	0.994744	0.991048	0.985303	0.986206	0.996184	0.986366	0.988305	0.992041
460	0.993928	0.997389	0.993752	0.991335	0.986662	0.987552	0.996698	0.985805	0.991169	0.992049
470	0.994307	0.997438	0.995100	0.990679	0.986164	0.985977	0.997283	0.984834	0.990955	0.990800
480	0.994392	0.996956	0.995471	0.991607	0.986644	0.987831	0.996523	0.981430	0.990246	0.989195
490	0.993464	0.997229	0.994944	0.990385	0.985077	0.989255	0.995390	0.979308	0.990600	0.990136
500	0.994235	0.997594	0.994809	0.989433	0.986282	0.986641	0.995832	0.979979	0.990752	0.990617
510	0.995888	0.997723	0.994374	0.989644	0.988261	0.988549	0.994610	0.983491	0.992653	0.990481
520	0.996328	0.997534	0.994387	0.988688	0.986410	0.987596	0.995030	0.980866	0.994050	0.990687
530	0.995563	0.997516	0.994010	0.987928	0.985126	0.988516	0.993544	0.980303	0.992886	0.990459
540	0.995681	0.998486	0.993394	0.987761	0.983763	0.988976	0.993904	0.983547	0.992065	0.990641
550	0.995331	0.998677	0.992178	0.987404	0.984595	0.987843	0.993256	0.987377	0.991476	0.990973
560	0.994664	0.998222	0.992179	0.988516	0.984554	0.986921	0.992248	0.985783	0.991273	0.990646
570	0.994607	0.997948	0.992697	0.988195	0.984749	0.986689	0.990788	0.985024	0.991289	0.989854
580	0.994781	0.998129	0.992622	0.988505	0.982860	0.988420	0.989868	0.984199	0.991216	0.987056
