T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.000321	0.000516	0.000421	0.000357	0.000360	0.000703	0.000456	0.000524	0.000348	0.000437
20	0.000684	0.000638	0.000940	0.000787	0.000718	0.000950	0.000954	0.001011	0.000764	0.000842
30	0.001319	0.000821	0.001647	0.001777	0.000820	0.001351	0.001287	0.001523	0.001256	0.001433
40	0.001711	0.001420	0.001789	0.001893	0.001556	0.002453	0.001889	0.002288	0.001484	0.002056
50	0.002587	0.001910	0.001955	0.002265	0.001921	0.003180	0.002275	0.002527	0.001991	0.002688
60	0.002981	0.001969	0.002690	0.002818	0.002292	0.003455	0.002319	0.002696	0.002364	0.003093
70	0.003182	0.002205	0.002741	0.003138	0.002708	0.004665	0.002625	0.002872	0.003048	0.003922
80	0.003914	0.002131	0.003037	0.004263	0.002854	0.004911	0.003162	0.003380	0.003515	0.004813
90	0.004764	0.002260	0.003002	0.005630	0.003135	0.004688	0.003870	0.003974	0.003522	0.005209
100	0.004180	0.002273	0.003097	0.006266	0.003015	0.005546	0.004533	0.005159	0.003587	0.005896
110	0.004239	0.002530	0.002880	0.006090	0.003449	0.006107	0.005153	0.005644	0.004061	0.006462
120	0.005444	0.003162	0.003843	0.006469	0.003788	0.006331	0.005546	0.005995	0.004263	0.006490
130	0.005976	0.003937	0.004228	0.006323	0.004132	0.006314	0.006150	0.006178	0.004387	0.006960
140	0.006271	0.003750	0.004177	0.007372	0.004323	0.006743	0.006659	0.007495	0.004571	0.007645
150	0.006709	0.003807	0.004121	0.008447	0.004211	0.006080	0.005681	0.008458	0.004350	0.007326
160	0.007097	0.003934	0.004436	0.008078	0.004226	0.006223	0.005467	0.007841	0.004821	0.007633
170	0.006864	0.003375	0.004441	0.007960	0.003908	0.005277	0.005476	0.008687	0.004485	0.007037
180	0.006434	0.003532	0.004509	0.008562	0.003794	0.004650	0.006011	0.009775	0.003938	0.006081
190	0.006254	0.003561	0.004476	0.008395	0.003664	0.004484	0.005954	0.009212	0.003981	0.005157
200	0.005955	0.003237	0.004162	0.008402	0.003585	0.004913	0.005598	0.009845	0.003981	0.004307
210	0.005687	0.003260	0.004080	0.009101	0.003192	0.005125	0.004692	0.010119	0.004015	0.003714
220	0.004373	0.003132	0.003836	0.008903	0.002922	0.004860	0.003931	0.009191	0.003964	0.002953
230	0.004005	0.002603	0.003638	0.008696	0.002971	0.004414	0.003363	0.008650	0.004700	0.003013
240	0.003438	0.002673	0.003457	0.007334	0.002450	0.003710	0.003470	0.009027	0.004075	0.002528
250	0.003407	0.002903	0.002888	0.007568	0.002200	0.003245	0.003413	0.008368	0.003778	0.002328
260	0.003408	0.002694	0.002859	0.006237	0.002009	0.003225	0.003396	0.008177	0.004111	0.002227
270	0.002980	0.002534	0.002873	0.005591	0.001615	0.002691	0.003153	0.007066	0.003908	0.002186
280	0.002880	0.002091	0.002962	0.005684	0.001556	0.002926	0.002725	0.005679	0.003941	0.001909
290	0.002860	0.001743	0.002579	0.005908	0.001534	0.002775	0.003029	0.004449	0.003977	0.002375
300	0.002934	0.001514	0.002595	0.005330	0.001700	0.002324	0.003022	0.004665	0.004531	0.002076
310	0.003080	0.001585	0.001741	0.005121	0.001468	0.002177	0.002840	0.004459	0.005545	0.002195
320	0.003002	0.001885	0.002044	0.004246	0.001625	0.002228	0.002749	0.003929	0.006025	0.002309
330	0.002515	0.001651	0.002472	0.003373	0.002215	0.001974	0.002646	0.003376	0.006891	0.002589
340	0.002049	0.001616	0.002073	0.002704	0.002010	0.001954	0.002924	0.003170	0.007566	0.002090
350	0.002207	0.001867	0.002029	0.002813	0.001626	0.002034	0.002893	0.003124	0.007621	0.002162
360	0.001997	0.001643	0.002218	0.002468	0.002004	0.002129	0.003035	0.002417	0.008627	0.002328
370	0.001998	0.001561	0.002062	0.002156	0.002169	0.002007	0.002714	0.002517	0.009742	0.002354
380	0.001963	0.001818	0.002008	0.002254	0.001913	0.001904	0.002922	0.002752	0.010034	0.002643
390	0.001817	0.001837	0.002065	0.002099	0.002270	0.001462	0.003015	0.002642	0.009696	0.002640
400	0.002042	0.002067	0.002306	0.001921	0.002197	0.001308	0.002647	0.002683	0.009499	0.002248
410	0.002196	0.001958	0.002263	0.002356	0.002402	0.001425	0.002384	0.002724	0.010010	0.002533
420	0.002003	0.001819	0.002798	0.001939	0.002311	0.001753	0.002239	0.002703	0.010333	0.002827
430	0.001717	0.001979	0.002923	0.001941	0.002445	0.001756	0.002350	0.003238	0.011208	0.003055
440	0.001434	0.001738	0.003155	0.001999	0.002662	0.001964	0.002470	0.002856	0.011063	0.003274
450	0.001306	0.001641	0.003283	0.001915	0.002704	0.001370	0.002760	0.002656	0.011178	0.003504
460	0.001372	0.001663	0.003272	0.001858	0.002885	0.001476	0.002293	0.002539	0.011701	0.003614
470	0.001232	0.001485	0.003652	0.001768	0.002914	0.001412	0.002290	0.002108	0.011717	0.004020
480	0.001112	0.001433	0.004099	0.002022	0.003235	0.001378	0.002052	0.002327	0.011334	0.003866
490	0.001364	0.001361	0.004061	0.002058	0.004128	0.001290	0.002134	0.002384	0.011945	0.004036
500	0.001357	0.001439	0.004144	0.001876	0.004839	0.001472	0.001837	0.002620	0.012233	0.004024
510	0.001388	0.001700	0.003960	0.001810	0.005725	0.001828	0.001948	0.002520	0.013171	0.004222
520	0.001564	0.001560	0.003631	0.001660	0.006515	0.002008	0.002455	0.002594	0.013104	0.004226
530	0.001720	0.001915	0.003689	0.001927	0.007081	0.001928	0.002777	0.002307	0.012877	0.004056
540	0.001703	0.001932	0.004042	0.001984	0.007442	0.001814	0.002580	0.002329	0.013491	0.004378
550	0.001654	0.002375	0.004393	0.001909	0.006925	0.001918	0.002715	0.002320	0.014264	0.004312
560	0.001766	0.002602	0.004770	0.002060	0.006827	0.001644	0.003049	0.002741	0.014851	0.003976
570	0.001565	0.002709	0.004728	0.002349	0.006882	0.001863	0.003643	0.003240	0.015280	0.004198
580	0.001930	0.002969	0.006266	0.002486	0.007664	0.001893	0.003843	0.003214	0.014971	0.004420
590	0.001892	0.003250	0.006021	0.002534	0.008221	0.001834	0.004498	0.003256	0.014936	0.004544
600	0.002114	0.003482	0.006034	0.002875	0.008768	0.001338	0.004452	0.003446	0.015225	0.004410
610	0.001949	0.003726	0.006329	0.003061	0.008381	0.001309	0.004879	0.003820	0.015033	0.004868
620	0.001893	0.003951	0.006148	0.003241	0.008777	0.001291	0.005189	0.003678	0.014756	0.004972
630	0.002105	0.003841	0.005612	0.003185	0.009182	0.001777	0.005460	0.003486	0.014363	0.004762
640	0.002254	0.004406	0.005841	0.003645	0.008445	0.001548	0.005864	0.003911	0.014134	0.005194
650	0.001749	0.004464	0.006475	0.003439	0.008799	0.001552	0.006702	0.004069	0.014022	0.005532
660	0.001698	0.004577	0.007220	0.003889	0.009376	0.001424	0.006862	0.004659	0.013906	0.005954
670	0.001809	0.004459	0.006721	0.004027	0.009648	0.001709	0.007191	0.004673	0.014001	0.006262
680	0.001636	0.004713	0.006714	0.004198	0.009849	0.001714	0.006927	0.005311	0.014671	0.006244
690	0.002016	0.004701	0.007099	0.003632	0.009466	0.001899	0.007144	0.004784	0.014786	0.006643
700	0.002028	0.004984	0.007658	0.004278	0.009697	0.002335	0.007691	0.005386	0.015461	0.006618
710	0.002020	0.005884	0.007811	0.004569	0.009848	0.003114	0.007762	0.005972	0.016765	0.005847
720	0.002279	0.006168	0.008598	0.004714	0.010003	0.003120	0.007415	0.005482	0.016740	0.006357
730	0.002102	0.006354	0.007977	0.005000	0.011372	0.002982	0.006718	0.006137	0.016221	0.006680
740	0.002538	0.006591	0.008306	0.005292	0.010953	0.003071	0.006795	0.006358	0.015969	0.007427
750	0.002549	0.007207	0.008470	0.005253	0.010866	0.003230	0.007291	0.005949	0.015806	0.008066
760	0.002273	0.006738	0.009038	0.005456	0.011395	0.003583	0.007327	0.006630	0.016413	0.007812
770	0.002214	0.007262	0.008728	0.005864	0.012057	0.003781	0.007942	0.006467	0.016714	0.008024
780	0.002224	0.008422	0.008242	0.006411	0.012397	0.004023	0.007468	0.006654	0.016740	0.008089
790	0.002455	0.009468	0.008952	0.006033	0.012642	0.004051	0.007191	0.006828	0.016946	0.007869
800	0.002968	0.008980	0.009411	0.006633	0.012812	0.004460	0.007538	0.007175	0.016490	0.007465
810	0.002411	0.008979	0.009745	0.007259	0.012317	0.004603	0.008111	0.007136	0.016819	0.007033
820	0.002257	0.010042	0.010010	0.007124	0.012635	0.004938	0.007714	0.007719	0.017802	0.007613
830	0.002220	0.010579	0.010408	0.007694	0.013048	0.005329	0.008086	0.007569	0.019300	0.007822
840	0.002353	0.010247	0.011210	0.008161	0.012581	0.005218	0.007997	0.008407	0.019647	0.008435
850	0.002692	0.010165	0.011918	0.008544	0.012646	0.005114	0.008118	0.008456	0.019984	0.008615
860	0.003136	0.011447	0.012542	0.008586	0.012342	0.005303	0.008380	0.009065	0.020362	0.008477
870	0.003568	0.011920	0.013020	0.009064	0.012972	0.005784	0.007697	0.009124	0.021438	0.008307
880	0.003244	0.012282	0.012949	0.009400	0.013102	0.005260	0.006833	0.009705	0.021613	0.008773
890	0.003290	0.013165	0.013276	0.009265	0.013314	0.005004	0.007344	0.009971	0.023077	0.009035
900	0.003195	0.012768	0.013494	0.009667	0.014213	0.005429	0.008106	0.010042	0.023647	0.009170
910	0.003183	0.013703	0.013867	0.009794	0.014866	0.006047	0.008678	0.010453	0.022938	0.010151
920	0.003247	0.014808	0.014594	0.010543	0.015106	0.006602	0.008822	0.010127	0.023039	0.009727
930	0.003106	0.015619	0.015381	0.010528	0.014756	0.006569	0.008857	0.009505	0.023792	0.009145
940	0.003250	0.016188	0.015912	0.010944	0.014506	0.007415	0.008763	0.009734	0.023514	0.009277
950	0.003724	0.016673	0.015577	0.011297	0.015888	0.006627	0.009106	0.008342	0.024299	0.009505
960	0.004230	0.016239	0.015972	0.011544	0.015378	0.007075	0.008252	0.008096	0.024712	0.009176
970	0.004362	0.016521	0.017574	0.012463	0.016208	0.007002	0.008286	0.008673	0.024945	0.008856
980	0.004205	0.015804	0.017083	0.012245	0.016981	0.007406	0.008757	0.008364	0.024631	0.008989
990	0.004420	0.016479	0.017719	0.012176	0.017606	0.008056	0.009247	0.008480	0.023447	0.009757
1000	0.005146	0.016213	0.018884	0.013177	0.017502	0.007370	0.009429	0.008532	0.024214	0.009950
1010	0.005835	0.015777	0.018246	0.014152	0.017613	0.007933	0.008741	0.007826	0.024898	0.010285
1020	0.005838	0.016391	0.019439	0.014527	0.018048	0.008125	0.009124	0.008238	0.024518	0.010650
1030	0.006670	0.016428	0.019001	0.015036	0.017064	0.007815	0.009287	0.008361	0.024287	0.010869
1040	0.006582	0.016690	0.018909	0.015416	0.017415	0.007982	0.009732	0.008405	0.023604	0.010580
1050	0.007478	0.017981	0.019389	0.016584	0.018051	0.008080	0.010322	0.009557	0.023836	0.010070
1060	0.007010	0.017823	0.019999	0.016528	0.017341	0.009169	0.011760	0.009776	0.022967	0.009699
1070	0.007753	0.017514	0.020771	0.016581	0.017749	0.009986	0.012739	0.010133	0.022281	0.010794
1080	0.006907	0.017479	0.020787	0.016768	0.018640	0.010724	0.014046	0.010358	0.022173	0.011975
1090	0.006862	0.018426	0.020560	0.016900	0.018758	0.011845	0.012389	0.010684	0.022185	0.012419
1100	0.007463	0.018294	0.020145	0.016971	0.019164	0.012486	0.012320	0.010230	0.022172	0.012250
1110	0.007069	0.018568	0.019314	0.017479	0.018446	0.012422	0.011695	0.010809	0.022236	0.012285
1120	0.007315	0.018456	0.019442	0.017983	0.019014	0.012953	0.011451	0.011395	0.020694	0.014070
1130	0.007613	0.018782	0.018009	0.019595	0.018480	0.012862	0.011660	0.010710	0.019928	0.014940
1140	0.008264	0.017463	0.018517	0.020462	0.018302	0.013652	0.012422	0.010862	0.020008	0.014248
1150	0.009488	0.016851	0.019936	0.022403	0.018665	0.015117	0.012621	0.011314	0.019404	0.014132
1160	0.010583	0.017611	0.021545	0.022048	0.019174	0.015214	0.012066	0.011618	0.018968	0.014591
1170	0.011748	0.017300	0.021713	0.022438	0.018302	0.015374	0.012703	0.012004	0.017923	0.014938
1180	0.011114	0.016406	0.021501	0.021679	0.018351	0.016798	0.012466	0.012283	0.017523	0.016353
1190	0.010608	0.016216	0.021433	0.021307	0.018604	0.018362	0.012640	0.012172	0.017820	0.016914
1200	0.010695	0.017436	0.021013	0.021720	0.019738	0.017980	0.012487	0.012082	0.018162	0.015600
1210	0.010439	0.018754	0.019821	0.021047	0.021052	0.018901	0.012276	0.012150	0.019047	0.015976
1220	0.012089	0.018975	0.020946	0.020752	0.021116	0.019936	0.013229	0.011615	0.018787	0.016601
1230	0.012088	0.019391	0.019486	0.020088	0.021326	0.019274	0.013225	0.011558	0.018687	0.017033
1240	0.012069	0.019731	0.019082	0.021355	0.021606	0.020406	0.012630	0.012625	0.018786	0.016147
1250	0.012507	0.021047	0.019560	0.021330	0.021323	0.021410	0.013125	0.013193	0.018444	0.015350
1260	0.013271	0.022021	0.019751	0.020963	0.021265	0.021946	0.013368	0.013494	0.019495	0.016138
1270	0.012106	0.021642	0.018996	0.021919	0.021134	0.021027	0.012954	0.013304	0.020551	0.015589
1280	0.013665	0.022758	0.018976	0.022057	0.021308	0.021088	0.012664	0.013436	0.019626	0.015692
1290	0.014369	0.022783	0.020010	0.022602	0.022019	0.021571	0.011918	0.013879	0.020664	0.015841
