T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.500154	0.499806	0.500338	0.500128	0.500371	0.499706	0.499865	0.499669	0.499650	0.499938
20	0.500004	0.499446	0.500129	0.499646	0.500042	0.499497	0.499976	0.500139	0.499928	0.500120
30	0.499749	0.499098	0.499624	0.498850	0.499989	0.499173	0.499493	0.499962	0.499876	0.499715
40	0.498781	0.499030	0.498988	0.497920	0.498925	0.498749	0.499384	0.499845	0.498529	0.500340
50	0.498164	0.498600	0.497363	0.497309	0.498478	0.498382	0.499580	0.499592	0.497757	0.499979
60	0.497416	0.498492	0.497500	0.496265	0.497528	0.496656	0.499068	0.499232	0.496251	0.498655
70	0.496296	0.498048	0.496762	0.495820	0.495697	0.495728	0.499277	0.499029	0.495736	0.498301
80	0.495524	0.497347	0.496215	0.492328	0.493126	0.494903	0.499597	0.497471	0.493944	0.496811
90	0.494135	0.495868	0.496255	0.490748	0.492638	0.493271	0.497998	0.496904	0.492418	0.493731
100	0.492083	0.494388	0.495805	0.488102	0.489744	0.490327	0.497489	0.494396	0.491829	0.492551
110	0.490094	0.493843	0.492686	0.485658	0.485394	0.488628	0.496271	0.491075	0.488630	0.489650
120	0.486272	0.491975	0.491796	0.485017	0.478815	0.484028	0.493758	0.488294	0.484398	0.485900
130	0.483028	0.490982	0.489697	0.480495	0.476629	0.476639	0.491567	0.484224	0.479934	0.482351
140	0.478482	0.489277	0.486611	0.475837	0.468837	0.469297	0.489630	0.481008	0.474164	0.476564
150	0.469036	0.487523	0.483615	0.470238	0.463343	0.460299	0.486447	0.476633	0.469475	0.470543
160	0.461452	0.484627	0.481205	0.466146	0.458572	0.453676	0.485783	0.472034	0.461986	0.463835
170	0.452196	0.483597	0.477546	0.463086	0.453175	0.442899	0.483658	0.466682	0.455028	0.457956
180	0.443642	0.480855	0.473096	0.455339	0.442090	0.431368	0.479558	0.459280	0.445768	0.449262
190	0.431085	0.477814	0.471495	0.447809	0.427900	0.418940	0.471950	0.453906	0.439554	0.433363
200	0.416500	0.476106	0.467379	0.440432	0.415896	0.404531	0.466637	0.444619	0.429449	0.414082
210	0.398933	0.474178	0.461941	0.430200	0.403424	0.389752	0.456208	0.435054	0.417662	0.393145
220	0.379565	0.468608	0.457538	0.423172	0.389396	0.377698	0.446894	0.425619	0.403574	0.370159
230	0.360126	0.464549	0.451395	0.413028	0.377975	0.362519	0.436111	0.413366	0.388221	0.339227
240	0.340854	0.459030	0.446668	0.402746	0.365366	0.347238	0.424003	0.401309	0.376994	0.312870
250	0.317731	0.453861	0.444382	0.394014	0.347706	0.336716	0.408605	0.388324	0.363359	0.297094
260	0.294661	0.448244	0.435041	0.380333	0.333171	0.323395	0.391497	0.375308	0.349753	0.272355
270	0.277700	0.442653	0.426423	0.366830	0.320082	0.313127	0.374988	0.362893	0.336241	0.246816
280	0.256286	0.431146	0.422112	0.353665	0.310083	0.304049	0.356955	0.349927	0.322305	0.228315
290	0.237573	0.422392	0.412593	0.343110	0.301951	0.288406	0.344932	0.334027	0.305892	0.206922
300	0.220018	0.415654	0.405891	0.334334	0.296307	0.275915	0.332854	0.322889	0.295472	0.190844
310	0.213381	0.404252	0.395283	0.321177	0.287993	0.267548	0.317014	0.315695	0.284323	0.177963
320	0.199412	0.392055	0.388500	0.308969	0.281196	0.264283	0.300331	0.301899	0.277130	0.167411
330	0.187819	0.382438	0.380130	0.303735	0.275239	0.257921	0.286008	0.292214	0.269628	0.159339
340	0.178262	0.371106	0.373710	0.295085	0.267609	0.252674	0.275508	0.285779	0.259283	0.152522
350	0.172584	0.361850	0.362382	0.288093	0.263173	0.250967	0.266659	0.282767	0.254468	0.147217
360	0.165565	0.352329	0.357650	0.282209	0.255101	0.248879	0.257888	0.272557	0.252960	0.142646
370	0.163238	0.341620	0.351024	0.274926	0.248843	0.246548	0.251610	0.267663	0.251663	0.139182
380	0.160668	0.333138	0.342584	0.271131	0.243731	0.243677	0.244226	0.260454	0.244808	0.134244
390	0.160070	0.322520	0.332958	0.263442	0.241492	0.240767	0.237789	0.251741	0.241658	0.131726
400	0.154039	0.318526	0.326107	0.258561	0.235401	0.239888	0.231541	0.244436	0.239116	0.130477
410	0.151451	0.314068	0.318673	0.256111	0.231502	0.238437	0.230196	0.246343	0.238710	0.130530
420	0.147441	0.308101	0.313425	0.254175	0.228191	0.236843	0.228191	0.244999	0.236188	0.128034
430	0.143553	0.300013	0.307084	0.250098	0.222251	0.235058	0.224797	0.240669	0.235565	0.127929
440	0.143061	0.295895	0.303531	0.246655	0.220084	0.233053	0.219426	0.236535	0.232955	0.127593
450	0.141167	0.288437	0.298610	0.242269	0.217436	0.230438	0.215708	0.230206	0.228310	0.126120
460	0.139097	0.286694	0.294779	0.242203	0.214034	0.227093	0.211287	0.227571	0.225501	0.126261
470	0.137402	0.279917	0.290343	0.242218	0.209841	0.226328	0.208903	0.223951	0.226184	0.126775
480	0.137559	0.272685	0.286460	0.240739	0.204636	0.226337	0.208162	0.217139	0.225854	0.125390
490	0.136342	0.267489	0.281959	0.237093	0.199712	0.226163	0.204049	0.215806	0.224917	0.125800
500	0.137513	0.263230	0.276525	0.235222	0.197163	0.224505	0.201590	0.214145	0.224539	0.125544
510	0.136258	0.258251	0.275720	0.233478	0.194196	0.224760	0.198005	0.209461	0.218840	0.123927
520	0.132696	0.254597	0.273115	0.231999	0.193799	0.222776	0.197047	0.209810	0.214396	0.121127
530	0.131193	0.247547	0.269842	0.230048	0.193059	0.217800	0.196285	0.204981	0.214826	0.119927
540	0.129791	0.245794	0.266473	0.226717	0.193837	0.217500	0.195853	0.196964	0.214319	0.120483
550	0.128433	0.243353	0.262254	0.224228	0.191661	0.215875	0.195672	0.193300	0.211509	0.121331
560	0.127012	0.236543	0.258399	0.222001	0.189994	0.214204	0.193494	0.191370	0.207603	0.120152
570	0.124089	0.230887	0.253858	0.223883	0.189087	0.212708	0.192526	0.188344	0.208205	0.116982
580	0.124443	0.226009	0.251217	0.221494	0.188277	0.210780	0.190601	0.189251	0.208253	0.117660
590	0.123647	0.221266	0.246568	0.217428	0.186503	0.211168	0.189079	0.184473	0.205856	0.116137
600	0.121454	0.216954	0.242148	0.214744	0.182363	0.209348	0.189784	0.178768	0.201101	0.116359
610	0.120876	0.213753	0.237932	0.209934	0.180139	0.207595	0.187142	0.177567	0.198939	0.114807
620	0.122090	0.211880	0.234764	0.209655	0.178332	0.205521	0.184341	0.174238	0.194163	0.115047
630	0.120600	0.207316	0.233034	0.207106	0.177400	0.202530	0.180768	0.172691	0.197784	0.114340
640	0.119369	0.203234	0.230050	0.205024	0.174218	0.201703	0.177757	0.169497	0.193610	0.114200
650	0.119814	0.198124	0.226877	0.203643	0.172000	0.198698	0.172732	0.170893	0.189008	0.114169
660	0.118169	0.193521	0.221763	0.201340	0.169593	0.196815	0.173301	0.164486	0.185284	0.113600
670	0.118535	0.189911	0.217252	0.200269	0.167087	0.194609	0.173583	0.163494	0.186253	0.112694
680	0.119841	0.186998	0.217851	0.194228	0.164723	0.191729	0.173338	0.161589	0.184716	0.113055
690	0.118157	0.186281	0.212966	0.190918	0.164568	0.189001	0.172730	0.159240	0.184078	0.114174
700	0.117985	0.183163	0.208747	0.186483	0.163083	0.186878	0.176438	0.158941	0.180076	0.114662
710	0.114833	0.179614	0.208383	0.184868	0.161284	0.183731	0.174324	0.154868	0.177998	0.115764
720	0.114968	0.177915	0.206543	0.183565	0.161040	0.181311	0.173508	0.155352	0.172575	0.115935
730	0.113715	0.177100	0.206638	0.181203	0.158760	0.179409	0.170589	0.152799	0.170353	0.115036
740	0.112967	0.174198	0.204049	0.177286	0.158259	0.178661	0.167463	0.150984	0.167889	0.114435
750	0.112067	0.173146	0.203261	0.176909	0.160415	0.176774	0.169607	0.148310	0.164983	0.113787
760	0.110213	0.169153	0.201470	0.176732	0.157382	0.172024	0.169752	0.146751	0.163677	0.112823
770	0.110582	0.168993	0.199869	0.172917	0.156095	0.170683	0.165019	0.146845	0.166010	0.111756
780	0.112685	0.168910	0.195855	0.173148	0.156781	0.167723	0.165298	0.143521	0.166309	0.111298
790	0.113290	0.167050	0.190945	0.168293	0.156971	0.167754	0.166211	0.142074	0.167640	0.110525
800	0.113168	0.163421	0.188416	0.165300	0.153061	0.164768	0.166099	0.140634	0.166953	0.110789
810	0.113746	0.161075	0.187091	0.160234	0.153398	0.164013	0.164370	0.138913	0.166694	0.110879
820	0.110767	0.161130	0.184990	0.160542	0.152699	0.164784	0.164217	0.135279	0.165181	0.109214
830	0.111393	0.159671	0.182145	0.163217	0.153850	0.166144	0.161075	0.132410	0.167266	0.108182
840	0.109907	0.156862	0.180596	0.162066	0.150918	0.166669	0.158319	0.131657	0.163138	0.109835
850	0.109933	0.156736	0.179588	0.159683	0.146055	0.161833	0.157315	0.131875	0.159182	0.107448
860	0.108460	0.156742	0.177526	0.156136	0.144548	0.160006	0.155314	0.131950	0.160636	0.106744
870	0.108283	0.155330	0.175258	0.151642	0.144539	0.156486	0.153682	0.130279	0.155863	0.106414
880	0.108560	0.154826	0.171993	0.151597	0.143860	0.156780	0.152643	0.125630	0.151121	0.108112
890	0.109961	0.152606	0.170293	0.148824	0.141446	0.155399	0.153124	0.124191	0.148513	0.108379
900	0.110724	0.148403	0.171539	0.148238	0.140215	0.153376	0.150458	0.121740	0.144190	0.110790
910	0.110554	0.147708	0.171243	0.145659	0.137664	0.153617	0.148006	0.121737	0.141651	0.109225
920	0.106733	0.146127	0.170372	0.144461	0.137821	0.153288	0.151545	0.122291	0.140308	0.108703
930	0.106220	0.143202	0.168564	0.142112	0.136820	0.148289	0.147334	0.125713	0.142247	0.106781
940	0.106845	0.142885	0.162448	0.139217	0.134701	0.148324	0.147488	0.124802	0.134300	0.107760
950	0.105453	0.143322	0.162632	0.137718	0.133405	0.146959	0.148703	0.123937	0.131846	0.108344
960	0.105595	0.142833	0.159473	0.136518	0.133120	0.146816	0.147299	0.120650	0.129124	0.106725
970	0.106649	0.139981	0.158065	0.137620	0.129535	0.144693	0.147846	0.121232	0.129243	0.105012
980	0.106586	0.139365	0.155660	0.135092	0.126998	0.141576	0.147823	0.120557	0.128771	0.104561
990	0.105480	0.136340	0.154898	0.133102	0.128062	0.136141	0.145760	0.119800	0.128654	0.104565
1000	0.105110	0.132580	0.151344	0.130084	0.127688	0.133108	0.144456	0.117413	0.127671	0.105125
1010	0.102683	0.132540	0.151718	0.131271	0.128512	0.129695	0.142702	0.116474	0.127478	0.106651
1020	0.104219	0.130868	0.148525	0.132229	0.127217	0.130398	0.140930	0.115547	0.125107	0.107014
1030	0.102538	0.130837	0.147547	0.129046	0.126879	0.128233	0.141310	0.116086	0.125864	0.108577
