essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0.0038815,0.01856775,0.0316785,0.06041775,0.004804,0.034416
0.555556,4,0.00389125,0.0185505,0.031858,0.06060725,0.00481,0.03443725
0.611111,4,0.0038855,0.018542,0.03165375,0.0605395,0.004801,0.0344065
0.666667,4,0.00386775,0.0185485,0.0318865,0.06061925,0.00477825,0.0343235
0.722222,4,0.003881,0.0185655,0.0315855,0.0605025,0.004792,0.034371
0.777778,4,0.0038825,0.018561,0.0318315,0.06058,0.0047915,0.03437075
0.833333,4,0.0038725,0.01853175,0.032046,0.0606885,0.0048,0.03439925
0.888889,4,0.0038725,0.018525,0.03165175,0.06040475,0.00478925,0.0343595
0.944444,4,0.0038915,0.01853325,0.031827,0.0603655,0.00481575,0.03445025
1,4,0.00333,0.01499025,0.13621075,0.05018825,0.0055145,0.03332825
0.5,8,0.0040646,0.0190106,0.0311438,0.0599046,0.0054372,0.0273134
0.555556,8,0.004183,0.019299,0.0311356,0.059879,0.0056006,0.0277198
0.611111,8,0.004334,0.0196594,0.0310992,0.060105,0.0057958,0.028204
0.666667,8,0.0045722,0.0201538,0.0311488,0.0593728,0.0061448,0.0290324
0.722222,8,0.0049794,0.0210442,0.0308998,0.0595818,0.0066676,0.0302298
0.777778,8,0.005678,0.0224308,0.0301114,0.0586802,0.007608,0.0322638
0.833333,8,0.0073556,0.0254362,0.0299654,0.0583844,0.0098962,0.036731
0.888889,8,0.0144494,0.0348762,0.0269236,0.054893,0.0194318,0.0510052
0.944444,8,0.0459828,0.054602,0.0255178,0.048561,0.0647392,0.089046
1,8,0.0496458,0.0528568,0.0688846,0.0699188,0.1211732,0.1109566
0.5,12,0.0040822,0.0190518,0.0312914,0.0599608,0.0056946,0.024377
0.555556,12,0.0042724,0.0194596,0.031173,0.059809,0.0059356,0.0248678
0.611111,12,0.0044354,0.019873,0.0310006,0.0593572,0.0061986,0.025416
0.666667,12,0.0048608,0.020748,0.0308582,0.0593232,0.0067518,0.0264876
0.722222,12,0.0054266,0.0219268,0.0308566,0.0595336,0.0075536,0.0280002
0.777778,12,0.0066992,0.0242528,0.030226,0.0588966,0.0092846,0.030957
0.833333,12,0.0104188,0.0299308,0.0282676,0.0569168,0.014289,0.0381148
0.888889,12,0.0298252,0.047448,0.0208918,0.0469096,0.0398332,0.0615144
0.944444,12,0.0725652,0.061678,0.0184726,0.0382672,0.0974566,0.089595
1,12,0.079535,0.062576,0.042441,0.049071,0.148326,0.101207
0.5,16,0.0040576,0.0189048,0.0307224,0.0586864,0.0057828,0.0227554
0.555556,16,0.0042774,0.0194386,0.0305266,0.0586738,0.0060878,0.0233388
0.611111,16,0.0045886,0.0200694,0.0301782,0.058254,0.0065092,0.0240786
0.666667,16,0.0050486,0.0209856,0.0306752,0.0590618,0.0071542,0.0251856
0.722222,16,0.0056694,0.0223798,0.0299528,0.0585734,0.0079968,0.0266224
0.777778,16,0.0074528,0.0254076,0.0290006,0.05701,0.010442,0.0302084
0.833333,16,0.01273,0.0329558,0.0262968,0.0542078,0.0174632,0.0385236
0.888889,16,0.040538,0.0535998,0.0174498,0.042099,0.05298,0.0633978
0.944444,16,0.0850518,0.0639862,0.0146026,0.0322558,0.1120348,0.0845886
1,16,0.1099274,0.0670444,0.0251434,0.0374146,0.162812,0.0941862
0.5,20,0.0039806,0.0187052,0.0316858,0.0592582,0.0058132,0.0218584
0.555556,20,0.004215,0.0192574,0.031025,0.0589584,0.0061348,0.0224062
0.611111,20,0.0045206,0.0199612,0.031764,0.0597114,0.006542,0.0231278
0.666667,20,0.00509,0.0210598,0.0297142,0.057904,0.0072452,0.0241574
0.722222,20,0.0059104,0.0226892,0.0296236,0.0575212,0.0084296,0.0260048
0.777778,20,0.0077426,0.0259,0.0282018,0.0558848,0.010887,0.0293126
0.833333,20,0.0150078,0.0352086,0.025368,0.053719,0.0203194,0.0389834
0.888889,20,0.0492058,0.056625,0.0143578,0.0380738,0.0625432,0.063304
0.944444,20,0.0957916,0.06498,0.0110562,0.0278808,0.1208138,0.0801402
1,20,0.12686,0.0686442,0.017138,0.0311212,0.170652,0.088116
0.5,24,0.0039912,0.018644,0.0309754,0.058145,0.0058774,0.0212862
0.555556,24,0.004251,0.0192414,0.0305574,0.0579848,0.006237,0.0218914
0.611111,24,0.0045958,0.0199794,0.0301802,0.0578556,0.0066908,0.0225846
0.666667,24,0.0050758,0.0209458,0.0306336,0.0587334,0.007341,0.0236274
0.722222,24,0.0059528,0.0226884,0.0297614,0.0575656,0.0085626,0.025406
0.777778,24,0.0081318,0.0264918,0.02862,0.0565422,0.0114794,0.0290544
0.833333,24,0.0167104,0.0369382,0.0237634,0.051154,0.0223368,0.0390328
0.888889,24,0.0543722,0.0580172,0.0121116,0.0347702,0.0677948,0.0618534
0.944444,24,0.1023892,0.0657302,0.009238,0.0255084,0.126587,0.0763178
1,24,0.133708,0.0679172,0.0140492,0.0277022,0.1753974,0.082972
0.5,28,0.0039806,0.0185054,0.031786,0.0585676,0.0059518,0.0210666
0.555556,28,0.0041486,0.0190152,0.0311818,0.0580702,0.0061998,0.021478
0.611111,28,0.004567,0.0199584,0.0309444,0.0592916,0.006677,0.0221418
0.666667,28,0.005192,0.0210694,0.0308944,0.0586916,0.007587,0.0234682
0.722222,28,0.006074,0.0228284,0.0295692,0.0575576,0.0086744,0.0249244
0.777778,28,0.0083192,0.0266472,0.0278902,0.0550494,0.0117496,0.0285684
0.833333,28,0.017586,0.037942,0.0234142,0.0506294,0.0234376,0.038754
0.888889,28,0.0586264,0.0590428,0.0109254,0.0327022,0.072116,0.0606762
0.944444,28,0.1084018,0.0657352,0.0076822,0.0229952,0.1309512,0.0732536
1,28,0.1453014,0.0675682,0.0105466,0.0251124,0.179488,0.079221
0.5,32,0.0040104,0.018527,0.0309066,0.0584974,0.006021,0.0208068
0.555556,32,0.004243,0.0190546,0.0313972,0.0581178,0.0063402,0.0213632
0.611111,32,0.0046296,0.0198324,0.029688,0.0570226,0.0067926,0.021931
0.666667,32,0.0050714,0.0208874,0.0300716,0.0573832,0.0074218,0.0228954
0.722222,32,0.0061918,0.0229354,0.0287254,0.0563324,0.008905,0.0247736
0.777778,32,0.0087398,0.0271722,0.0284174,0.0562994,0.012231,0.0285236
0.833333,32,0.019721,0.0397074,0.0228034,0.0503362,0.0256242,0.0391052
0.888889,32,0.0618384,0.0604438,0.0103738,0.0321306,0.0748932,0.059518
0.944444,32,0.1120858,0.0646726,0.006726,0.021929,0.1333034,0.0704948
1,32,0.1509152,0.0673146,0.0089616,0.023428,0.1826034,0.0759748
0.5,36,0.0039412,0.0183762,0.031995,0.0583662,0.0059798,0.0206402
0.555556,36,0.0042458,0.0190612,0.030469,0.0567972,0.006329,0.0210634
0.611111,36,0.0045002,0.0195934,0.0320114,0.0587448,0.0067844,0.0218584
0.666667,36,0.005007,0.0207026,0.0318692,0.0585122,0.0074456,0.022789
0.722222,36,0.0061326,0.0228966,0.0305114,0.0576178,0.0089344,0.0246716
0.777778,36,0.0085152,0.026744,0.0278916,0.0544378,0.0120074,0.0279476
0.833333,36,0.0197776,0.0399648,0.0215174,0.0481044,0.025569,0.0383498
0.888889,36,0.0650068,0.061386,0.0091202,0.0294014,0.0776378,0.058547
0.944444,36,0.1151548,0.0654386,0.0059948,0.021095,0.1354296,0.0684132
1,36,0.153581,0.0664402,0.0079852,0.0224992,0.1840852,0.0731032
0.5,40,0.003991,0.018398,0.032252,0.05787,0.006129,0.020791
0.555556,40,0.004051,0.018674,0.031318,0.057241,0.006215,0.020852
0.611111,40,0.004477,0.0195,0.031968,0.058319,0.006767,0.021641
0.666667,40,0.005053,0.020406,0.029831,0.055919,0.007454,0.022423
0.722222,40,0.006167,0.022801,0.030048,0.055526,0.008981,0.024523
0.777778,40,0.008296,0.0264,0.031813,0.0582,0.011907,0.027894
0.833333,40,0.020808,0.040797,0.024064,0.051629,0.026775,0.038446
0.888889,40,0.067358,0.061806,0.009009,0.029202,0.079762,0.057672
0.944444,40,0.119641,0.064023,0.004944,0.019572,0.137471,0.066335
1,40,0.153092,0.064045,0.007903,0.022199,0.186009,0.070262
