T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
10	0.500699	0.496006	0.495308	0.497204	0.5001	0.502895	0.498203	0.494808	0.500599	0.508686
20	0.500399	0.493111	0.498602	0.499002	0.501597	0.500699	0.502296	0.49361	0.496506	0.504692
30	0.497903	0.507388	0.502196	0.495707	0.5003	0.49351	0.4997	0.507887	0.503994	0.49361
40	0.491414	0.494109	0.502396	0.507588	0.496206	0.504692	0.495507	0.498403	0.498902	0.494509
50	0.497404	0.503295	0.496206	0.498902	0.496805	0.505691	0.501597	0.497504	0.504293	0.5001
60	0.490815	0.497704	0.49371	0.495507	0.495607	0.493411	0.503195	0.504093	0.500699	0.503794
70	0.489617	0.501697	0.502196	0.4997	0.506889	0.497105	0.502696	0.497404	0.505691	0.489018
80	0.48752	0.495807	0.501797	0.494309	0.490016	0.483526	0.492113	0.498902	0.489317	0.498502
90	0.479133	0.504892	0.49381	0.483027	0.478834	0.472943	0.496905	0.501897	0.492512	0.497005
100	0.489317	0.49381	0.497704	0.49381	0.481929	0.46845	0.49381	0.489517	0.48113	0.491913
110	0.476038	0.501897	0.492812	0.492113	0.472644	0.451677	0.491114	0.498702	0.473942	0.483626
120	0.46226	0.482328	0.484525	0.488119	0.462859	0.448682	0.49361	0.489117	0.470946	0.479034
130	0.45627	0.489716	0.492512	0.480631	0.45597	0.426717	0.492911	0.504493	0.472045	0.471945
140	0.434006	0.476138	0.489517	0.478734	0.454772	0.407149	0.488618	0.500699	0.450479	0.472544
150	0.42482	0.46885	0.47474	0.468051	0.444489	0.378095	0.485923	0.491114	0.436002	0.465655
160	0.400659	0.449181	0.471546	0.467352	0.416134	0.350539	0.474441	0.491314	0.416933	0.459665
170	0.387081	0.401558	0.46895	0.451078	0.388578	0.311701	0.465256	0.488219	0.386581	0.455671
180	0.348742	0.373502	0.454173	0.448383	0.371006	0.299022	0.461961	0.480232	0.375499	0.442292
190	0.327177	0.311302	0.447384	0.423323	0.355032	0.258686	0.454473	0.477835	0.334864	0.428514
200	0.29992	0.257388	0.441993	0.400459	0.342452	0.234026	0.444189	0.467652	0.313199	0.430312
210	0.277656	0.196985	0.431609	0.376997	0.323582	0.221745	0.437899	0.450679	0.288938	0.389776
220	0.251298	0.152456	0.414137	0.34984	0.304113	0.203774	0.413638	0.451577	0.267472	0.38728
230	0.227436	0.121605	0.39377	0.313099	0.292732	0.190994	0.407748	0.436601	0.259884	0.367712
240	0.211861	0.103435	0.367312	0.267572	0.26877	0.179712	0.395867	0.40645	0.248303	0.367812
250	0.19359	0.08756	0.352736	0.239517	0.253095	0.170927	0.375399	0.391973	0.235124	0.349241
260	0.176717	0.074281	0.349241	0.199481	0.23103	0.167532	0.358926	0.377596	0.228435	0.334864
270	0.167033	0.066394	0.329273	0.169629	0.226038	0.160343	0.348343	0.347045	0.217053	0.313998
280	0.154353	0.063498	0.3125	0.14397	0.208666	0.166434	0.330471	0.322484	0.207268	0.304113
290	0.138279	0.059804	0.289936	0.119509	0.194788	0.167332	0.30651	0.323582	0.19978	0.283946
300	0.123103	0.054413	0.267272	0.101238	0.188598	0.148363	0.288239	0.291034	0.19349	0.264077
310	0.114517	0.051617	0.259085	0.085363	0.17472	0.139876	0.273562	0.288538	0.184305	0.2503
320	0.109425	0.046126	0.242512	0.07518	0.160244	0.142173	0.250699	0.277256	0.182508	0.250998
330	0.100938	0.040136	0.222145	0.063698	0.153954	0.135583	0.230931	0.262879	0.173722	0.228834
340	0.090855	0.041733	0.215455	0.051118	0.150659	0.132488	0.212959	0.248103	0.166234	0.208067
350	0.080471	0.040335	0.203874	0.045627	0.139477	0.1247	0.200679	0.246106	0.170927	0.207468
360	0.084065	0.039936	0.202376	0.035543	0.125599	0.129193	0.175619	0.236721	0.167432	0.19389
370	0.07508	0.036242	0.198482	0.031749	0.1253	0.116713	0.158646	0.222145	0.162839	0.181709
380	0.086062	0.035643	0.190495	0.030751	0.113019	0.116813	0.141174	0.20617	0.148962	0.168131
390	0.072085	0.032847	0.178614	0.029353	0.110024	0.111422	0.1253	0.201777	0.145467	0.155851
400	0.070188	0.030851	0.176717	0.02496	0.099341	0.110323	0.107129	0.20018	0.138678	0.147364
410	0.069489	0.028454	0.179912	0.023862	0.092851	0.09994	0.088658	0.196685	0.134085	0.144868
420	0.063998	0.026857	0.180411	0.020268	0.09395	0.106929	0.073083	0.195288	0.127596	0.137181
430	0.058806	0.027656	0.166933	0.015076	0.089157	0.10004	0.060403	0.183706	0.11891	0.122404
440	0.064497	0.027855	0.166933	0.015675	0.084565	0.092851	0.0624	0.179513	0.11891	0.122105
450	0.058506	0.022564	0.160743	0.015575	0.078774	0.089357	0.052516	0.17512	0.10014	0.111821
460	0.057608	0.02506	0.152855	0.015375	0.079173	0.087959	0.045228	0.160044	0.097145	0.107728
470	0.059205	0.026657	0.147564	0.016174	0.079972	0.083367	0.040835	0.155152	0.094249	0.101038
480	0.052616	0.023063	0.137879	0.013778	0.076278	0.074681	0.034345	0.160942	0.089157	0.095946
490	0.047125	0.020367	0.139077	0.012979	0.067891	0.06899	0.038339	0.147065	0.083267	0.089357
500	0.049521	0.020567	0.126997	0.011781	0.071585	0.069489	0.030152	0.141474	0.073982	0.087161
510	0.054313	0.021166	0.11881	0.013678	0.065196	0.067292	0.028654	0.130391	0.073982	0.084265
520	0.055312	0.020068	0.11881	0.008686	0.059305	0.057208	0.030651	0.13119	0.069089	0.084964
530	0.051518	0.018071	0.108327	0.010383	0.056609	0.057308	0.029153	0.126797	0.063399	0.077077
540	0.049221	0.018271	0.098942	0.009385	0.053415	0.059505	0.028654	0.111122	0.059505	0.072284
550	0.050319	0.016174	0.103534	0.010184	0.057208	0.051518	0.029752	0.108027	0.05611	0.073882
560	0.044728	0.015775	0.086761	0.011382	0.059006	0.053315	0.029553	0.103534	0.047724	0.06879
570	0.044129	0.016474	0.090455	0.011781	0.057708	0.048123	0.025559	0.101038	0.043131	0.064896
580	0.05022	0.016474	0.080072	0.010583	0.050619	0.04982	0.023662	0.088458	0.03724	0.05621
590	0.049321	0.011581	0.075779	0.007688	0.055212	0.046625	0.025359	0.084065	0.040735	0.057308
600	0.040435	0.013279	0.080371	0.008387	0.051518	0.043231	0.022863	0.085962	0.042532	0.054213
610	0.038339	0.01268	0.071086	0.006589	0.049621	0.039936	0.022264	0.07508	0.034844	0.051318
620	0.046126	0.011182	0.074481	0.007188	0.04353	0.034944	0.019868	0.067292	0.033546	0.053514
630	0.042033	0.013079	0.0628	0.007688	0.052117	0.034645	0.022963	0.066094	0.031749	0.054912
640	0.041534	0.01268	0.065296	0.010583	0.04373	0.03115	0.020068	0.059704	0.030751	0.046126
650	0.039437	0.011681	0.060903	0.011182	0.042931	0.030351	0.022464	0.057009	0.028854	0.047424
660	0.040036	0.008087	0.051917	0.007488	0.041234	0.027456	0.021565	0.052516	0.029054	0.04373
670	0.040635	0.007788	0.052516	0.007089	0.044828	0.029553	0.022764	0.050319	0.025659	0.041733
680	0.040036	0.006689	0.053714	0.009784	0.037839	0.022664	0.022065	0.046725	0.028754	0.042332
690	0.040136	0.008986	0.046526	0.008586	0.044728	0.022264	0.022065	0.044429	0.026757	0.038339
700	0.039337	0.007488	0.047224	0.008087	0.037141	0.017372	0.019768	0.043131	0.021765	0.034345
710	0.037041	0.008187	0.042432	0.008886	0.039337	0.015575	0.019269	0.03754	0.021466	0.03754
720	0.035743	0.008387	0.040136	0.010583	0.041134	0.013778	0.019968	0.034744	0.022863	0.029054
730	0.035144	0.007688	0.03744	0.008786	0.039637	0.016873	0.016773	0.034744	0.017772	0.03115
740	0.033846	0.007188	0.040335	0.007288	0.034844	0.015176	0.017472	0.032947	0.016474	0.028155
750	0.032348	0.006989	0.039337	0.004892	0.035343	0.014077	0.016474	0.036142	0.018171	0.027157
760	0.038239	0.008586	0.036741	0.004093	0.032648	0.012181	0.01877	0.028654	0.015375	0.028554
770	0.036342	0.008886	0.034245	0.005591	0.032149	0.011581	0.017572	0.03095	0.015076	0.02486
780	0.036042	0.007488	0.033946	0.005691	0.03115	0.011781	0.016573	0.026757	0.014577	0.026558
790	0.034046	0.007188	0.035942	0.006689	0.028654	0.010184	0.017672	0.028055	0.016673	0.024461
800	0.03764	0.008187	0.03135	0.006889	0.033047	0.009884	0.01857	0.025958	0.015176	0.022564
810	0.037939	0.007788	0.030052	0.005891	0.029253	0.011082	0.017572	0.025859	0.015575	0.02526
820	0.034245	0.00649	0.027656	0.004593	0.03145	0.013478	0.017173	0.025859	0.013379	0.022564
830	0.037141	0.004792	0.022364	0.007089	0.026757	0.011881	0.018271	0.02496	0.01228	0.021466
840	0.03774	0.004593	0.025359	0.005491	0.026558	0.011482	0.016274	0.024661	0.013179	0.020068
850	0.033846	0.007188	0.025559	0.005292	0.02526	0.013578	0.016374	0.023762	0.013678	0.020168
860	0.029453	0.005791	0.022564	0.004892	0.027157	0.01228	0.018371	0.024461	0.015076	0.017272
870	0.031849	0.008087	0.022364	0.005491	0.021965	0.009984	0.013379	0.025459	0.01258	0.018371
880	0.03135	0.007688	0.022564	0.006789	0.021466	0.009185	0.017372	0.018371	0.014377	0.017272
890	0.030252	0.006689	0.024661	0.006689	0.022863	0.010383	0.014876	0.022564	0.013578	0.015176
900	0.027556	0.007987	0.021565	0.006889	0.019968	0.011082	0.015775	0.016074	0.010982	0.014677
910	0.030651	0.00619	0.02486	0.005791	0.019169	0.010284	0.015775	0.015176	0.010383	0.015875
920	0.030152	0.005292	0.026657	0.00599	0.023962	0.011781	0.016773	0.013379	0.010383	0.013678
930	0.028055	0.006689	0.019968	0.006589	0.022364	0.010783	0.013678	0.017272	0.011781	0.014277
940	0.028954	0.005391	0.021865	0.005691	0.020068	0.008486	0.013179	0.016773	0.011282	0.013179
950	0.028255	0.007688	0.021965	0.006589	0.017073	0.007688	0.014477	0.015675	0.011581	0.016174
960	0.028155	0.004493	0.021066	0.004093	0.017672	0.007388	0.012181	0.015176	0.011981	0.01278
970	0.027356	0.005891	0.022264	0.005491	0.015375	0.009285	0.013678	0.017073	0.009385	0.011282
980	0.028454	0.007388	0.016773	0.007089	0.019569	0.009185	0.013478	0.01268	0.010383	0.011981
990	0.026857	0.007188	0.019169	0.005591	0.015875	0.008886	0.011382	0.01248	0.008786	0.011382
1000	0.028854	0.007887	0.020567	0.006589	0.01857	0.007887	0.01258	0.011282	0.009685	0.01238
1010	0.028954	0.00649	0.022264	0.004792	0.014377	0.009884	0.01268	0.010583	0.01258	0.011781
1020	0.027157	0.008486	0.020367	0.003295	0.017572	0.007887	0.015375	0.01268	0.010483	0.008886
1030	0.027656	0.00629	0.017272	0.003395	0.014377	0.007588	0.011182	0.013478	0.010982	0.008986
1040	0.026657	0.004792	0.01847	0.004193	0.014976	0.008387	0.014976	0.01268	0.011182	0.010084
1050	0.026757	0.00609	0.021565	0.003494	0.013578	0.006589	0.009984	0.012181	0.010284	0.009685
1060	0.022664	0.005092	0.020966	0.004493	0.014277	0.007688	0.009185	0.01228	0.010084	0.011581
1070	0.021765	0.006689	0.017173	0.003494	0.012979	0.007388	0.009984	0.012979	0.013179	0.009984
1080	0.022264	0.008287	0.017372	0.004493	0.013578	0.007288	0.009685	0.013678	0.012879	0.010483
1090	0.022564	0.008786	0.017772	0.004493	0.011482	0.008087	0.011581	0.011681	0.011881	0.010184
1100	0.023363	0.007887	0.016474	0.004892	0.010184	0.008986	0.010982	0.011581	0.010184	0.011282
1110	0.020268	0.003594	0.01877	0.00599	0.01268	0.006989	0.009585	0.009285	0.010284	0.010883
1120	0.024561	0.004493	0.017073	0.004992	0.009585	0.008087	0.009285	0.011981	0.009884	0.008786
1130	0.021166	0.006889	0.019669	0.004792	0.010783	0.00619	0.009185	0.011182	0.009185	0.011581
1140	0.021865	0.005691	0.019469	0.003894	0.013778	0.00629	0.011382	0.010284	0.007588	0.012181
1150	0.021266	0.004393	0.016873	0.005391	0.010683	0.004493	0.008886	0.010383	0.009585	0.010783
1160	0.016973	0.003894	0.017372	0.006589	0.010483	0.007688	0.009085	0.010583	0.009984	0.008287
1170	0.021266	0.003794	0.01857	0.008187	0.008886	0.006589	0.008287	0.012081	0.009285	0.009385
1180	0.020268	0.002396	0.01887	0.006589	0.007788	0.006689	0.007688	0.011182	0.010284	0.01258
1190	0.018271	0.003395	0.017472	0.007288	0.008786	0.006789	0.010184	0.009784	0.009285	0.010683
