essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0.0026976,0.0159242,0.0670182,0.092494,0.004871,0.0346206
0.555556,4,0.0026706,0.0158362,0.0691008,0.0937074,0.0048826,0.0346586
0.611111,4,0.0026966,0.0159178,0.0665184,0.0918682,0.0048694,0.0346128
0.666667,4,0.0026956,0.015904,0.067676,0.0931472,0.0048788,0.0346478
0.722222,4,0.0026962,0.0158974,0.0677044,0.0929302,0.0048922,0.034693
0.777778,4,0.0027136,0.0159508,0.065878,0.091484,0.004876,0.034638
0.833333,4,0.0026828,0.0158636,0.067681,0.0929356,0.00488,0.0346494
0.888889,4,0.0026948,0.0159104,0.0675216,0.0927774,0.0048874,0.0346732
0.944444,4,0.0026686,0.0158292,0.0682644,0.0927392,0.0048976,0.034702
1,4,0.0021674,0.0126232,0.1329582,0.0651606,0.0061182,0.0358392
0.5,8,0.0027498,0.0160052,0.066674,0.0915574,0.0053654,0.0287982
0.555556,8,0.0028394,0.016238,0.0663226,0.0914322,0.005521,0.0291802
0.611111,8,0.002947,0.0165726,0.0662666,0.0912596,0.0056926,0.0296224
0.666667,8,0.0030712,0.0169094,0.0674456,0.092297,0.0059534,0.0302872
0.722222,8,0.0033388,0.0175822,0.0669694,0.0923436,0.0063802,0.0312872
0.777778,8,0.0038194,0.0188314,0.0657388,0.0912684,0.0071316,0.032988
0.833333,8,0.0049096,0.02129,0.0632034,0.0898422,0.0088258,0.0364658
0.888889,8,0.0099846,0.0300476,0.0565612,0.0861796,0.0161686,0.0483782
0.944444,8,0.0155938,0.0349426,0.2131562,0.3517748,0.0656912,0.0670844
1,8,0.024954,0.0414966,0.3764956,0.4450256,0.0993114,0.0558452
0.5,12,0.002733,0.0158942,0.0676214,0.0912808,0.0055142,0.0268376
0.555556,12,0.0028234,0.0161724,0.0668736,0.0906794,0.0056624,0.0271644
0.611111,12,0.002997,0.0166404,0.0670942,0.091525,0.0059234,0.0277038
0.666667,12,0.0032386,0.017313,0.0664318,0.0911462,0.0062954,0.0284764
0.722222,12,0.0036398,0.0183238,0.065514,0.090154,0.0069496,0.0297936
0.777778,12,0.0044916,0.0202294,0.0636878,0.0898426,0.0081912,0.0319992
0.833333,12,0.0069856,0.0251788,0.0613146,0.0894936,0.0116704,0.0374372
0.888889,12,0.0257214,0.0464178,0.0383268,0.0724026,0.0345712,0.0599138
0.944444,12,0.0189488,0.033473,0.3056706,0.4186634,0.0639782,0.047698
1,12,0.0377758,0.0440612,0.43787,0.4725358,0.0881668,0.0474148
0.5,16,0.0027284,0.0158082,0.0696904,0.0923244,0.0055972,0.0258612
0.555556,16,0.002802,0.0160088,0.0703932,0.0918788,0.0057502,0.0261842
0.611111,16,0.0030254,0.016661,0.068449,0.0921684,0.0060476,0.0267136
0.666667,16,0.00337,0.017474,0.068457,0.09211,0.006602,0.027762
0.722222,16,0.0037474,0.0185106,0.0675354,0.0909374,0.0072324,0.02893
0.777778,16,0.0049224,0.0211048,0.0643942,0.0897882,0.0088316,0.0313878
0.833333,16,0.0086996,0.02802,0.0578182,0.085779,0.0137994,0.0377616
0.888889,16,0.0389232,0.0545422,0.0268528,0.0611522,0.0486472,0.0632304
0.944444,16,0.0331564,0.0448404,0.2998974,0.425711,0.0670118,0.0494534
1,16,0.0442012,0.0466728,0.4775138,0.4426918,0.0978798,0.049015
0.5,20,0.002761,0.0157784,0.0693294,0.09236,0.005636,0.0250582
0.555556,20,0.0029324,0.016282,0.0678514,0.0911102,0.0058918,0.0255054
0.611111,20,0.0030688,0.0166742,0.070251,0.0918598,0.0062038,0.0261984
0.666667,20,0.0034324,0.017593,0.0656096,0.0884004,0.006689,0.0269462
0.722222,20,0.0039814,0.0189274,0.0668602,0.089734,0.0075306,0.0283868
0.777778,20,0.0050518,0.0213664,0.0655944,0.089337,0.009165,0.0308594
0.833333,20,0.0103092,0.0302166,0.0571696,0.0852872,0.0157614,0.0381778
0.888889,20,0.0483574,0.0582734,0.021852,0.0549134,0.0584784,0.063526
0.944444,20,0.0453898,0.0526792,0.2724556,0.3985924,0.0781416,0.0536596
1,20,0.0447272,0.045757,0.4635138,0.3767284,0.1016458,0.0451804
0.5,24,0.0028112,0.0158324,0.0662162,0.0889606,0.0056614,0.024359
0.555556,24,0.002897,0.0161576,0.0673298,0.0884018,0.0058912,0.0249612
0.611111,24,0.003067,0.0166452,0.0707254,0.0923964,0.0062192,0.02559
