essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.833333,32,0.3117334,0.0800068,0.1318478,0.0808632,0.3958978,0.0698002
0.888889,32,0.3928386,0.0695814,0.1270704,0.0837044,0.4348692,0.0658054
0.944444,32,0.4428152,0.061743,0.1764786,0.0966912,0.4611416,0.062853
1,32,0.5014024,0.0574412,0.3415502,0.1100738,0.5005944,0.059073
0.5,36,0.018054,0.0348894,0.0285898,0.0489148,0.0245422,0.0592766
0.555556,36,0.0748674,0.0567674,0.015252,0.039389,0.090471,0.089541
0.611111,36,0.1644644,0.060775,0.0226302,0.0478474,0.1916208,0.0968304
0.666667,36,0.2003638,0.063334,0.0760676,0.0688146,0.2661934,0.087487
0.722222,36,0.1946658,0.0718738,0.116325,0.0772978,0.315601,0.0752228
0.777778,36,0.2225642,0.0791844,0.1087908,0.0711906,0.3535542,0.0701564
0.833333,36,0.3084066,0.0790674,0.102991,0.0714182,0.3947506,0.0681154
0.888889,36,0.4002936,0.0682322,0.1166784,0.0790076,0.4375228,0.0640428
0.944444,36,0.44728,0.0604956,0.1526628,0.0913238,0.4627574,0.0617898
1,36,0.5012524,0.058987,0.2168684,0.103294,0.5004186,0.0608026
0.5,40,0.017752,0.033746,0.032811,0.051844,0.025024,0.059069
0.555556,40,0.080945,0.060293,0.017081,0.04045,0.096286,0.090728
0.611111,40,0.161295,0.05999,0.021193,0.046731,0.187737,0.094081
0.666667,40,0.197937,0.065571,0.060785,0.060457,0.26321,0.08899
0.722222,40,0.227935,0.068473,0.087555,0.072678,0.317426,0.075348
0.777778,40,0.219957,0.079379,0.088816,0.06567,0.353882,0.069099
0.833333,40,0.322321,0.078596,0.123095,0.080102,0.397966,0.065311
0.888889,40,0.393754,0.066815,0.109382,0.075059,0.434485,0.063048
0.944444,40,0.441288,0.062147,0.109636,0.076545,0.460339,0.063101
1,40,0.497559,0.052161,0.392253,0.097996,0.497894,0.052395
