essentiality,grp_size,avg_q,asd_q,avg_s,asd_s,avg_porp,asd_porp
0.5,4,0.0046714,0.020367,0.0307758,0.059484,0.0061532,0.0407716
0.555556,4,0.0050008,0.0210492,0.0307318,0.0591628,0.0066034,0.0422222
0.611111,4,0.0054856,0.022061,0.0303486,0.0587368,0.007254,0.0442384
0.666667,4,0.0063266,0.023597,0.0306072,0.0590532,0.0084292,0.0476534
0.722222,4,0.0081126,0.0265844,0.0296738,0.0580762,0.010842,0.053949
0.777778,4,0.0128774,0.0330226,0.0279456,0.0558708,0.0174366,0.0680226
0.833333,4,0.0362658,0.0502422,0.0290492,0.0541616,0.0528474,0.1144752
0.888889,4,0.0323524,0.0449862,0.1164982,0.1027356,0.1328838,0.1580088
0.944444,4,0.0198442,0.0356142,0.24119,0.1319536,0.2084128,0.1652132
1,4,0.0170854,0.0340266,0.3619322,0.1500516,0.2629248,0.1576532
0.5,8,0.0050252,0.0210734,0.0304166,0.0587276,0.007098,0.0349626
0.555556,8,0.0057018,0.022375,0.0298672,0.0580552,0.008024,0.0370848
0.611111,8,0.0067596,0.0243426,0.0295942,0.057567,0.0095202,0.0403154
0.666667,8,0.0091566,0.0281592,0.0284418,0.0564914,0.0128082,0.0464988
0.722222,8,0.016828,0.0371872,0.0248218,0.05295,0.0230114,0.0611906
0.777778,8,0.0518032,0.0570188,0.0165868,0.0393004,0.0693542,0.0994608
0.833333,8,0.093789,0.0651122,0.023775,0.0394734,0.1392134,0.1272464
0.888889,8,0.0594784,0.0574162,0.096135,0.0926164,0.1909484,0.1287704
0.944444,8,0.0717144,0.0624724,0.5738506,0.4778808,0.2017542,0.100368
1,8,0.082489,0.0666932,0.7223786,0.4297674,0.2221922,0.0813702
0.5,12,0.0051806,0.0212482,0.0292352,0.0569876,0.0074126,0.0326978
0.555556,12,0.005948,0.0227632,0.0311754,0.0597792,0.0085488,0.035172
0.611111,12,0.0073406,0.025262,0.029828,0.0582208,0.0104306,0.0385862
0.666667,12,0.010885,0.0303626,0.0275222,0.0548902,0.015188,0.0458596
